filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
zymo_test_6000.fast5	0166bc59-0073-4173-b070-abe45659774d	af307028575a34db3268b4df36412691cb25b558	0	333	2	440.102000	1.030250	824	TRUE	440.182000	760	0.950250	319	15.430878	2.932616	65.924347	9.617610	65.924347	9.617610
zymo_test_6000.fast5	01752b61-815c-4571-a333-d157158ca3e8	af307028575a34db3268b4df36412691cb25b558	0	456	3	420.019750	1.500000	1200	TRUE	420.174750	1076	1.345000	478	10.776428	2.911951	82.186844	9.267879	82.186844	9.267879
zymo_test_6000.fast5	00797c45-13aa-4af2-b7cf-3bd3f3c85b5e	af307028575a34db3268b4df36412691cb25b558	0	25	1	330.982250	1.500000	1200	TRUE	331.073500	1127	1.408750	543	12.952737	3.048501	74.492760	8.568416	74.492760	8.568416
zymo_test_6000.fast5	00ab9278-4dcc-4386-8cd8-4a611ee2ba45	af307028575a34db3268b4df36412691cb25b558	0	276	4	404.011500	1.500000	1200	TRUE	404.100250	1129	1.411250	511	12.156528	2.955682	73.093834	8.743281	73.093834	8.743281
zymo_test_6000.fast5	0029e119-bab3-4c00-8835-2deaaef3266d	af307028575a34db3268b4df36412691cb25b558	0	262	1	144.562000	0.942250	753	TRUE	144.613250	712	0.891000	365	11.472622	3.052929	74.842491	9.442744	74.842491	9.442744
zymo_test_6000.fast5	005fd3a4-97f0-4976-8bc9-c8fd31e7bb50	af307028575a34db3268b4df36412691cb25b558	0	430	4	318.230750	1.500000	1200	TRUE	318.333250	1118	1.397500	263	12.925831	2.439804	82.011986	8.568416	82.011986	8.568416
zymo_test_6000.fast5	01896880-1bfd-4da1-8d40-3bae8e8a4465	af307028575a34db3268b4df36412691cb25b558	0	98	4	412.783000	1.500000	1200	TRUE	412.814250	1175	1.468750	490	14.520906	2.938899	74.143028	8.393551	74.143028	8.393551
zymo_test_6000.fast5	018efb72-ea5c-4925-b695-76bdda4ee98f	af307028575a34db3268b4df36412691cb25b558	0	313	2	385.394000	0.774250	619	TRUE	385.520250	518	0.648000	228	13.834717	2.870221	68.722191	9.617610	68.722191	9.617610
zymo_test_6000.fast5	010be0a2-36ab-4a6d-ac13-6164421bc133	af307028575a34db3268b4df36412691cb25b558	0	60	2	267.323500	1.500000	1200	TRUE	267.449750	1099	1.373750	493	11.655653	2.969734	64.875153	9.093013	64.875153	9.093013
zymo_test_6000.fast5	013cf568-de45-4d9f-9ee9-65081db133cd	af307028575a34db3268b4df36412691cb25b558	0	501	4	81.792000	1.500000	1200	FALSE	81.858250	1147	1.433750	686	8.484685	3.038519	71.345177	8.218685	71.345177	8.218685
zymo_test_6000.fast5	01096375-b43f-4c2f-8082-44561de923d9	af307028575a34db3268b4df36412691cb25b558	0	180	1	253.929250	1.205250	964	TRUE	254.065500	855	1.069000	403	12.653707	2.954941	61.552704	8.393551	61.552704	8.393551
zymo_test_6000.fast5	054526b7-a21b-4ed3-a7cc-b072a433423f	af307028575a34db3268b4df36412691cb25b558	0	293	2	201.628500	1.500000	1200	TRUE	201.728500	1120	1.400000	515	14.864937	3.014194	61.377838	7.694088	61.377838	7.694088
zymo_test_6000.fast5	059644b4-3472-4724-95e7-ea9afa65c08d	af307028575a34db3268b4df36412691cb25b558	0	247	3	314.371750	1.500000	1200	TRUE	314.415500	1165	1.456250	604	13.141829	3.078512	69.946251	9.617610	69.946251	9.617610
zymo_test_6000.fast5	01badd25-5d92-4438-b6db-38d617b3b73a	af307028575a34db3268b4df36412691cb25b558	0	425	1	266.341250	1.500000	1200	TRUE	266.503750	1070	1.337500	455	14.981963	2.906064	66.973541	8.393551	66.973541	8.393551
zymo_test_6000.fast5	01fad03a-c4f9-4699-8966-9adf8f840c6b	af307028575a34db3268b4df36412691cb25b558	0	247	3	106.648250	1.500000	1200	TRUE	106.760750	1110	1.387500	317	15.384360	2.643227	68.722191	9.442744	68.722191	9.442744
