filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
zymo_test_2.fast5	0029e119-bab3-4c00-8835-2deaaef3266d	af307028575a34db3268b4df36412691cb25b558	0	262	1	144.562000	0.942250	753	TRUE	144.613250	712	0.891000	365	11.472622	3.052929	74.842491	9.442744	74.842491	9.442744
zymo_test_2.fast5	005fd3a4-97f0-4976-8bc9-c8fd31e7bb50	af307028575a34db3268b4df36412691cb25b558	0	430	4	318.230750	1.859250	1487	TRUE	318.333250	1405	1.756750	324	12.839647	2.445889	82.011986	8.568416	82.011986	8.568416
zymo_test_2.fast5	01896880-1bfd-4da1-8d40-3bae8e8a4465	af307028575a34db3268b4df36412691cb25b558	0	98	4	412.783000	5.807750	4646	FALSE	412.814250	4621	5.776500	2164	8.955590	3.031302	74.667625	8.743281	74.667625	8.743281
zymo_test_2.fast5	018efb72-ea5c-4925-b695-76bdda4ee98f	af307028575a34db3268b4df36412691cb25b558	0	313	2	385.394000	0.774250	619	TRUE	385.520250	518	0.648000	228	13.834717	2.870221	68.722191	9.617610	68.722191	9.617610
zymo_test_2.fast5	01fad03a-c4f9-4699-8966-9adf8f840c6b	af307028575a34db3268b4df36412691cb25b558	0	247	3	106.648250	8.490500	6792	TRUE	106.760750	6702	8.378000	1906	15.507473	2.686768	71.170311	8.393551	71.170311	8.393551
zymo_test_2.fast5	01badd25-5d92-4438-b6db-38d617b3b73a	af307028575a34db3268b4df36412691cb25b558	0	425	1	266.341250	35.547500	28438	TRUE	266.503750	28308	35.385000	11379	16.732105	2.971185	68.022728	8.568416	68.022728	8.568416
zymo_test_2.fast5	01752b61-815c-4571-a333-d157158ca3e8	af307028575a34db3268b4df36412691cb25b558	0	456	3	420.019750	30.558750	24447	TRUE	420.176000	24322	30.402500	10226	14.516120	3.006945	82.186844	9.093013	82.186844	9.093013
zymo_test_2.fast5	00797c45-13aa-4af2-b7cf-3bd3f3c85b5e	af307028575a34db3268b4df36412691cb25b558	0	25	1	330.982250	41.979000	33583	TRUE	331.073500	33510	41.887750	15611	12.560495	3.066006	73.093834	9.093013	73.093834	9.093013
zymo_test_2.fast5	013cf568-de45-4d9f-9ee9-65081db133cd	af307028575a34db3268b4df36412691cb25b558	0	501	4	81.792000	13.067500	10454	FALSE	81.858250	10401	13.001250	6078	8.325644	3.089132	70.995445	8.568416	70.995445	8.568416
zymo_test_2.fast5	0166bc59-0073-4173-b070-abe45659774d	af307028575a34db3268b4df36412691cb25b558	0	333	2	440.102000	1.030250	824	TRUE	440.182000	760	0.950250	319	15.430878	2.932616	65.924347	9.617610	65.924347	9.617610
zymo_test_2.fast5	00ab9278-4dcc-4386-8cd8-4a611ee2ba45	af307028575a34db3268b4df36412691cb25b558	0	276	4	404.011500	8.523000	6818	TRUE	404.100250	6747	8.434250	2863	12.278239	2.945459	73.618431	8.568416	73.618431	8.568416
zymo_test_2.fast5	01096375-b43f-4c2f-8082-44561de923d9	af307028575a34db3268b4df36412691cb25b558	0	180	1	253.929250	1.205250	964	TRUE	254.065500	855	1.069000	403	12.653707	2.954941	61.552704	8.393551	61.552704	8.393551
zymo_test_2.fast5	010be0a2-36ab-4a6d-ac13-6164421bc133	af307028575a34db3268b4df36412691cb25b558	0	60	2	267.323500	60.692000	48553	TRUE	267.449750	48452	60.565750	21856	15.321154	3.063321	65.574615	9.792476	65.574615	9.792476
