2021-07-23 10:18:50.726877 [guppy/message] ONT Guppy basecalling software version 5.0.11+2b6dbff, client-server API version 7.0.0
config file:        /opt/ont/guppy/data/dna_r9.4.1_450bps_sketch.cfg
input path:         2000
save path:          sketch_2000
chunk size:         2000
minimum qscore:     7
records per file:   4000

2021-07-23 10:18:50.727324 [guppy/info] crashpad_handler successfully launched.
2021-07-23 10:18:50.729678 [guppy/info] Connecting to server as 'guppy_basecall_client'
2021-07-23 10:18:50.729866 [guppy/info] connection state: preparing_connection
2021-07-23 10:18:50.730222 [guppy/info] connection state: loading_config
2021-07-23 10:18:51.733152 [guppy/info] connection state: loading_alignment_index
2021-07-23 10:18:51.733220 [guppy/info] connection state: loading_bed_file
2021-07-23 10:18:51.733240 [guppy/info] connection state: connecting
2021-07-23 10:18:51.735487 [guppy/info] Connected to server as 'guppy_basecall_client'. Connection id: f3d904ec-007d-4b66-bd29-82cfaedf2ae7
2021-07-23 10:18:51.735503 [guppy/info] connection state: connected
2021-07-23 10:18:51.740354 [guppy/message] Found 1 fast5 files to process.
2021-07-23 10:18:51.740587 [guppy/message] Init time: 1011 ms
2021-07-23 10:18:51.762051 [guppy/info] Read '0029e119-bab3-4c00-8835-2deaaef3266d' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.762117 [guppy/info] Read '005fd3a4-97f0-4976-8bc9-c8fd31e7bb50' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.762143 [guppy/info] Read '00797c45-13aa-4af2-b7cf-3bd3f3c85b5e' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.763237 [guppy/info] Read '00ab9278-4dcc-4386-8cd8-4a611ee2ba45' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.763269 [guppy/info] Read '01096375-b43f-4c2f-8082-44561de923d9' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.763293 [guppy/info] Read '010be0a2-36ab-4a6d-ac13-6164421bc133' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.764388 [guppy/info] Read '013cf568-de45-4d9f-9ee9-65081db133cd' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.764414 [guppy/info] Read '0166bc59-0073-4173-b070-abe45659774d' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.765505 [guppy/info] Read '01752b61-815c-4571-a333-d157158ca3e8' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.765527 [guppy/info] Read '01896880-1bfd-4da1-8d40-3bae8e8a4465' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.765544 [guppy/info] Read '018efb72-ea5c-4925-b695-76bdda4ee98f' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.766635 [guppy/info] Read '01badd25-5d92-4438-b6db-38d617b3b73a' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.766655 [guppy/info] Read '01fad03a-c4f9-4699-8966-9adf8f840c6b' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.767753 [guppy/info] Read '01fb3e7c-a541-49db-91e6-e4f62573aeb3' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.767776 [guppy/info] Read '023e4674-be00-480a-87f0-fc5ff6d480e3' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.767794 [guppy/info] Read '0252b790-c63e-4a07-8d0b-a0c9352d521a' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.768893 [guppy/info] Read '02697d6a-5810-4faa-a60c-8f98fce2fcfd' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.768914 [guppy/info] Read '0293f60d-2203-413a-93cd-213ae2c61847' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.768932 [guppy/info] Read '0339e927-00c0-4e6e-a4cb-9bd60c8eacb7' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.770035 [guppy/info] Read '034b4405-b067-4ce8-8e4a-3fd01421782f' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.770060 [guppy/info] Read '038101db-c8a0-40e5-a38b-3e9eb2a3e94d' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.771149 [guppy/info] Read '043d7f41-d704-46e2-8e79-261b17448927' from file "zymo_test_2000.fast5" has been loaded.
