filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
zymo_test_4000.fast5	0029e119-bab3-4c00-8835-2deaaef3266d	af307028575a34db3268b4df36412691cb25b558	0	262	1	144.562000	0.942250	628	TRUE	144.613000	594	0.891250	380	8.983543	0.000000	74.842491	9.442744	73.469833	9.846435
zymo_test_4000.fast5	005fd3a4-97f0-4976-8bc9-c8fd31e7bb50	af307028575a34db3268b4df36412691cb25b558	0	430	4	318.230750	1.000000	666	TRUE	318.334250	597	0.896500	188	9.760548	0.000000	80.962791	8.568416	80.690842	10.258689
zymo_test_4000.fast5	00797c45-13aa-4af2-b7cf-3bd3f3c85b5e	af307028575a34db3268b4df36412691cb25b558	0	25	1	330.982250	1.000000	666	TRUE	331.073750	605	0.908500	337	8.206960	0.000000	75.192223	8.043819	73.757393	9.142105
zymo_test_4000.fast5	00ab9278-4dcc-4386-8cd8-4a611ee2ba45	af307028575a34db3268b4df36412691cb25b558	0	276	4	404.011500	1.000000	666	TRUE	404.100000	607	0.911500	340	8.503070	0.000000	73.793297	8.743281	73.183411	10.298841
zymo_test_4000.fast5	01096375-b43f-4c2f-8082-44561de923d9	af307028575a34db3268b4df36412691cb25b558	0	180	1	253.929250	1.000000	666	TRUE	254.065750	575	0.863500	341	8.113214	0.000000	61.727570	8.218685	60.199032	8.115291
zymo_test_4000.fast5	010be0a2-36ab-4a6d-ac13-6164421bc133	af307028575a34db3268b4df36412691cb25b558	0	60	2	267.323500	1.000000	666	TRUE	267.449500	582	0.874000	319	9.154425	0.000000	66.448944	8.918147	66.895050	8.912904
zymo_test_4000.fast5	013cf568-de45-4d9f-9ee9-65081db133cd	af307028575a34db3268b4df36412691cb25b558	0	501	4	81.792000	1.000000	666	FALSE	81.858000	622	0.934000	427	6.338788	0.000000	71.869774	8.043819	70.379791	9.159977
zymo_test_4000.fast5	0166bc59-0073-4173-b070-abe45659774d	af307028575a34db3268b4df36412691cb25b558	0	333	2	440.102000	1.000000	666	TRUE	440.181500	613	0.920500	315	10.011311	0.000000	65.749481	9.792476	68.214447	8.554730
zymo_test_4000.fast5	01752b61-815c-4571-a333-d157158ca3e8	af307028575a34db3268b4df36412691cb25b558	0	456	3	420.019750	1.000000	666	TRUE	420.175750	562	0.844000	312	8.721432	0.000000	82.011986	9.442744	79.439850	9.827221
zymo_test_4000.fast5	01896880-1bfd-4da1-8d40-3bae8e8a4465	af307028575a34db3268b4df36412691cb25b558	0	98	4	412.783000	1.000000	666	TRUE	412.814500	645	0.968500	319	8.783003	0.000000	73.093834	8.043819	72.613899	8.982808
zymo_test_4000.fast5	018efb72-ea5c-4925-b695-76bdda4ee98f	af307028575a34db3268b4df36412691cb25b558	0	313	2	385.394000	0.774250	516	TRUE	385.520000	432	0.648250	195	8.532638	0.000000	68.897057	8.568416	70.655258	9.487736
