filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
zymo_test_6000.fast5	00ab9278-4dcc-4386-8cd8-4a611ee2ba45	af307028575a34db3268b4df36412691cb25b558	0	276	4	404.011500	1.500000	1200	TRUE	404.100250	1129	1.411250	512	12.931833	2.984849	73.093834	8.743281	73.093834	8.743281
zymo_test_6000.fast5	01096375-b43f-4c2f-8082-44561de923d9	af307028575a34db3268b4df36412691cb25b558	0	180	1	253.929250	1.205250	964	TRUE	254.065500	855	1.069000	397	16.890024	3.031193	61.552704	8.393551	61.552704	8.393551
zymo_test_6000.fast5	0166bc59-0073-4173-b070-abe45659774d	af307028575a34db3268b4df36412691cb25b558	0	333	2	440.102000	1.030250	824	TRUE	440.182000	760	0.950250	318	17.654303	2.991324	65.924347	9.617610	65.924347	9.617610
zymo_test_6000.fast5	01752b61-815c-4571-a333-d157158ca3e8	af307028575a34db3268b4df36412691cb25b558	0	456	3	420.019750	1.500000	1200	TRUE	420.174750	1076	1.345000	478	12.314189	3.006777	82.186844	9.267879	82.186844	9.267879
zymo_test_6000.fast5	0029e119-bab3-4c00-8835-2deaaef3266d	af307028575a34db3268b4df36412691cb25b558	0	262	1	144.562000	0.942250	753	TRUE	144.613250	712	0.891000	357	12.634774	3.082424	74.842491	9.442744	74.842491	9.442744
zymo_test_6000.fast5	005fd3a4-97f0-4976-8bc9-c8fd31e7bb50	af307028575a34db3268b4df36412691cb25b558	0	430	4	318.230750	1.500000	1200	TRUE	318.333250	1118	1.397500	263	13.444941	2.474139	82.011986	8.568416	82.011986	8.568416
zymo_test_6000.fast5	010be0a2-36ab-4a6d-ac13-6164421bc133	af307028575a34db3268b4df36412691cb25b558	0	60	2	267.323500	1.500000	1200	TRUE	267.449750	1099	1.373750	491	14.637154	3.071119	64.875153	9.093013	64.875153	9.093013
zymo_test_6000.fast5	013cf568-de45-4d9f-9ee9-65081db133cd	af307028575a34db3268b4df36412691cb25b558	0	501	4	81.792000	1.500000	1200	FALSE	81.858250	1147	1.433750	692	8.564643	3.093999	71.345177	8.218685	71.345177	8.218685
zymo_test_6000.fast5	00797c45-13aa-4af2-b7cf-3bd3f3c85b5e	af307028575a34db3268b4df36412691cb25b558	0	25	1	330.982250	1.500000	1200	TRUE	331.073500	1127	1.408750	541	15.373184	3.133369	74.492760	8.568416	74.492760	8.568416
zymo_test_6000.fast5	01896880-1bfd-4da1-8d40-3bae8e8a4465	af307028575a34db3268b4df36412691cb25b558	0	98	4	412.783000	1.500000	1200	TRUE	412.814250	1175	1.468750	490	16.566692	2.991894	74.143028	8.393551	74.143028	8.393551
zymo_test_6000.fast5	018efb72-ea5c-4925-b695-76bdda4ee98f	af307028575a34db3268b4df36412691cb25b558	0	313	2	385.394000	0.774250	619	TRUE	385.520250	518	0.648000	237	14.796757	2.956650	68.722191	9.617610	68.722191	9.617610
zymo_test_6000.fast5	01badd25-5d92-4438-b6db-38d617b3b73a	af307028575a34db3268b4df36412691cb25b558	0	425	1	266.341250	1.500000	1200	TRUE	266.503750	1070	1.337500	459	15.491093	2.991183	66.973541	8.393551	66.973541	8.393551
zymo_test_6000.fast5	04cf7bdc-dfe5-4e06-9066-89af630a9fe3	af307028575a34db3268b4df36412691cb25b558	0	248	2	320.104500	1.500000	1200	TRUE	320.348250	1005	1.256250	561	12.432163	3.170318	74.143028	9.267879	74.143028	9.267879
zymo_test_6000.fast5	04ff7496-fdf2-48cb-93d5-e01f5f52a103	af307028575a34db3268b4df36412691cb25b558	0	463	4	242.999000	1.500000	1200	FALSE	243.011500	1190	1.487500	642	7.166807	2.922556	73.618431	7.519222	73.618431	7.519222
zymo_test_6000.fast5	0339e927-00c0-4e6e-a4cb-9bd60c8eacb7	af307028575a34db3268b4df36412691cb25b558	0	86	2	129.477750	1.500000	1200	TRUE	129.517750	1168	1.460000	549	16.324213	3.108808	74.492760	9.617610	74.492760	9.617610
zymo_test_6000.fast5	034b4405-b067-4ce8-8e4a-3fd01421782f	af307028575a34db3268b4df36412691cb25b558	0	59	2	35.580000	1.500000	1200	TRUE	35.606250	1179	1.473750	412	12.538087	2.814115	73.093834	8.393551	73.093834	8.393551
zymo_test_6000.fast5	0a789e6f-f237-48d3-830f-8959c4f47591	af307028575a34db3268b4df36412691cb25b558	0	100	4	196.949500	1.500000	1200	TRUE	197.197000	1002	1.252500	414	14.130852	2.961169	73.618431	9.267879	73.618431	9.267879
zymo_test_6000.fast5	0a7b54e7-ecde-4c52-bc27-97792972349c	af307028575a34db3268b4df36412691cb25b558	0	241	1	144.798750	1.500000	1200	TRUE	145.266250	826	1.032500	333	14.116818	2.916261	66.623810	9.617610	66.623810	9.617610
zymo_test_6000.fast5	0b4d4fe7-070f-4651-9322-0fd7d3d1d5b9	af307028575a34db3268b4df36412691cb25b558	0	165	1	209.387000	1.500000	1200	TRUE	209.424500	1170	1.462500	563	12.339303	3.044497	69.596519	9.093013	69.596519	9.093013
