2021-07-22 21:17:50.019181 [guppy/message] ONT Guppy basecalling software version 5.0.11+2b6dbff, client-server API version 7.0.0
config file:        /opt/ont/guppy/data/dna_r9.4.1_450bps_hac.cfg
input path:         /data/zymo_test_data_1000/2
save path:          /data/zymo_test_data_1000/2/basecalling
chunk size:         2000
minimum qscore:     9
records per file:   4000
fastq compression:  ON

2021-07-22 21:17:50.019393 [guppy/info] crashpad_handler successfully launched.
2021-07-22 21:17:50.020932 [guppy/info] Connecting to server as 'guppy_basecall_client'
2021-07-22 21:17:50.021126 [guppy/info] connection state: preparing_connection
2021-07-22 21:17:50.021463 [guppy/info] connection state: loading_config
2021-07-22 21:17:50.023384 [guppy/info] connection state: loading_alignment_index
2021-07-22 21:17:50.023428 [guppy/info] connection state: loading_bed_file
2021-07-22 21:17:50.023450 [guppy/info] connection state: connecting
2021-07-22 21:17:50.025915 [guppy/info] Connected to server as 'guppy_basecall_client'. Connection id: 7b25a4a1-6b50-4c89-a7c9-5ee66effee02
2021-07-22 21:17:50.025943 [guppy/info] connection state: connected
2021-07-22 21:17:50.029458 [guppy/message] Found 1 fast5 files to process.
2021-07-22 21:17:50.029642 [guppy/message] Init time: 10 ms
2021-07-22 21:17:50.029675 [guppy/message] [PROG_STAT_HDR] time elapsed(secs), time remaining (estimate), total reads processed, total reads (estimate), interval(secs), interval reads processed, interval bases processed
2021-07-22 21:17:50.056520 [guppy/info] Read '0029e119-bab3-4c00-8835-2deaaef3266d' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.057669 [guppy/info] Read '005fd3a4-97f0-4976-8bc9-c8fd31e7bb50' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.060920 [guppy/info] Read '00797c45-13aa-4af2-b7cf-3bd3f3c85b5e' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.062082 [guppy/info] Read '00ab9278-4dcc-4386-8cd8-4a611ee2ba45' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.062124 [guppy/info] Read '01096375-b43f-4c2f-8082-44561de923d9' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.064391 [guppy/info] Read '010be0a2-36ab-4a6d-ac13-6164421bc133' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.065520 [guppy/info] Read '013cf568-de45-4d9f-9ee9-65081db133cd' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.065547 [guppy/info] Read '0166bc59-0073-4173-b070-abe45659774d' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.067827 [guppy/info] Read '01752b61-815c-4571-a333-d157158ca3e8' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.067871 [guppy/info] Read '01896880-1bfd-4da1-8d40-3bae8e8a4465' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.067888 [guppy/info] Read '018efb72-ea5c-4925-b695-76bdda4ee98f' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.070112 [guppy/info] Read '01badd25-5d92-4438-b6db-38d617b3b73a' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.071302 [guppy/info] Read '01fad03a-c4f9-4699-8966-9adf8f840c6b' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.075899 [guppy/info] Read '01fb3e7c-a541-49db-91e6-e4f62573aeb3' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.075967 [guppy/info] Read '023e4674-be00-480a-87f0-fc5ff6d480e3' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.077067 [guppy/info] Read '0252b790-c63e-4a07-8d0b-a0c9352d521a' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.079245 [guppy/info] Read '02697d6a-5810-4faa-a60c-8f98fce2fcfd' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.079277 [guppy/info] Read '0293f60d-2203-413a-93cd-213ae2c61847' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.081440 [guppy/info] Read '0339e927-00c0-4e6e-a4cb-9bd60c8eacb7' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.082549 [guppy/info] Read '034b4405-b067-4ce8-8e4a-3fd01421782f' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.082590 [guppy/info] Read '038101db-c8a0-40e5-a38b-3e9eb2a3e94d' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.083686 [guppy/info] Read '043d7f41-d704-46e2-8e79-261b17448927' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.086917 [guppy/info] Read '0440f804-7610-412f-9798-0e511bde1e33' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.086942 [guppy/info] Read '04751c11-f791-40aa-bcf3-0fdd5c400476' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.090165 [guppy/info] Read '0487aa41-d32f-46c8-abbc-a55762176ab0' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.090203 [guppy/info] Read '04cf7bdc-dfe5-4e06-9066-89af630a9fe3' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.092362 [guppy/info] Read '04ff7496-fdf2-48cb-93d5-e01f5f52a103' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.093454 [guppy/info] Read '05401818-9ae6-41f2-9c1e-5e5963f1bc13' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.097740 [guppy/info] Read '054526b7-a21b-4ed3-a7cc-b072a433423f' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.098838 [guppy/info] Read '059644b4-3472-4724-95e7-ea9afa65c08d' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.098860 [guppy/info] Read '06455793-c060-43df-a2cf-f22a85f290d1' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.099961 [guppy/info] Read '0649354e-c566-483d-bf9d-bab38b910f17' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.102124 [guppy/info] Read '06553748-c31b-42a8-8e9a-0eeca82e6b61' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.109609 [guppy/info] Read '07cf7e3f-815a-4519-977c-c16d2f94095e' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.109650 [guppy/info] Read '07d85072-3e66-4465-b80d-6834f80a8064' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.110741 [guppy/info] Read '07e1131a-132f-474b-a3a4-f22393a85857' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.110768 [guppy/info] Read '0834571d-3bfa-43c0-b0a4-f6291501d8c6' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.111858 [guppy/info] Read '08ba831c-be6c-4c73-8e7a-721803952b30' from file "zymo_test_2.fast5" has been loaded.
